X24C_htseq.out	X24N_htseq.out	X27C_htseq.out	X27N_htseq.out	X29C_htseq.out	X29N_htseq.out	X30C_htseq.out	X30N_htseq.out	X31C_htseq.out	X31N_htseq.out	X32C_htseq.out	X32N_htseq.out	X33C_htseq.out	X33N_htseq.out	X34C_htseq.out	X34N_htseq.out	X35c_htseq.out	X35N_htseq.out	X36C_htseq.out	X36N_htseq.out	X37C_htseq.out	X37N_htseq.out	X38C_htseq.out	X38N_htseq.out	X39C_htseq.out	X39N_htseq.out	X41C_htseq.out	X41N_htseq.out	X42C_htseq.out	X42N_htseq.out	X43C_htseq.out	X43N_htseq.out	X46C_htseq.out	X46N_htseq.out	X47C_htseq.out	X47N_htseq.out	X49C_htseq.out	X49N_htseq.out	X50C_htseq.out	X50N_htseq.out	X51C_htseq.out	X51N_htseq.out	X53C_htseq.out	X53N_htseq.out
AKT1	3219	3420	3030	3234	5244	1803	1927	3214	3767	3288	2615	3782	3002	3509	4198	3110	2527	3190	1612	2202	1589	2081	1341	3093	1695	2441	4140	3216	2421	1989	2794	2676	5524	3613	4111	4641	2679	2874	3019	3005	3155	3370	2607	1907
AR	44	20	43	45	13	3	5	29	22	195	12	91	11	14	11	41	373	273	15	76	21	11	23	54	2	46	11	177	37	4	0	64	24	220	9	285	51	101	5	247	12	135	9	21
BIRC2	3388	5191	2944	3309	3306	5130	1951	5239	2931	3302	2882	6431	3926	3258	2879	4871	2326	3121	2554	3697	3429	3855	1963	4044	2709	2312	4231	4640	3545	3860	3623	2410	3850	4498	3251	5407	3536	3658	1059	2345	3308	3871	3150	3626
BRAF	1285	1008	841	849	1636	624	787	1174	1588	1074	1071	1245	1064	979	1491	979	952	944	946	739	1052	751	570	913	965	784	1521	1068	957	997	1187	844	2615	1255	2092	1219	1252	1138	911	1108	983	1231	1560	637
CCND1	5671	1807	3810	2337	2987	500	4037	672	5217	1187	4604	2062	1731	3169	2850	2057	3784	1402	4372	1103	2782	575	850	898	3148	1759	5353	1417	3809	1479	4912	1362	13633	1701	6817	2948	3608	887	4976	3139	3719	1142	7835	1252
CCNE1	633	169	326	149	458	128	463	106	474	188	1056	144	213	81	484	66	446	156	399	78	978	176	644	134	479	121	457	154	738	106	159	153	824	90	976	144	879	163	658	115	466	180	868	105
CDK2	1724	679	899	434	1492	371	861	338	1703	550	1897	376	655	260	1787	269	1191	530	731	230	2127	514	1160	235	1262	351	1935	297	1497	219	807	440	2519	453	2101	452	2486	558	1148	1147	1413	367	1772	265
EGFR	2941	5717	1892	3558	1997	1967	1301	6395	1699	3423	2340	7428	2341	6096	1986	7190	1662	2662	1849	3835	2813	2469	1566	5268	1054	3042	3089	4826	1762	3466	3211	3501	6062	4428	3272	8500	1142	3254	1723	3592	2111	4544	2286	3772
EGLN2	181	256	68	53	283	47	43	64	340	123	129	66	96	60	133	127	96	128	62	42	90	130	30	67	90	63	211	114	189	74	63	101	456	144	305	202	295	264	352	260	176	270	89	149
EGLN3	1036	3584	1342	1401	4387	6897	875	3260	474	2107	1257	7545	1896	2376	3504	7095	1043	2273	446	8443	363	3523	1113	5934	381	463	1265	7038	2349	814	2434	642	2149	9977	857	6820	1022	2435	315	1422	2211	5791	200	4812
