	X15.018_L0_G821_htseq.out	X15.018_L7_G821_htseq.out	X15.130_B0_G821_htseq.out	X15.130_B7_G821_htseq.out	X15.160_E0_G821_htseq.out	X15.160_E7_G821_htseq.out	X15.164_E0_G821_htseq.out	X15.164_E7_G821_htseq.out	X15.171_L0_G821_htseq.out	X15.171_L7_G821_htseq.out	X15.248_A0_G821_htseq.out	X15.248_A7_G821_htseq.out	X15.288_B0_G821_htseq.out	X15.288_B7_G821_htseq.out	X17.150_E0_G821_htseq.out	X17.150_E7_G821_htseq.out	X17.477_L0_G821_htseq.out	X17.477_L7_G821_htseq.out	X18.152_L0_G821_htseq.out	X18.152_L7_G821_htseq.out	X18.177_H0_G821_htseq.out	X18.177_H7_G821_htseq.out	X18.269_D0_G821_htseq.out	X18.269_D7_G821_htseq.out	X18.466_L0_G821_htseq.out	X18.466_L7_G821_htseq.out	X18.565_L0_G821_htseq.out	X18.565_L7_G821_htseq.out	X19.055_L0_G821_htseq.out	X19.055_L7_G821_htseq.out	X19.062_L0_G821_htseq.out	X19.062_L7_G821_htseq.out	X19.076_B0_G821_htseq.out	X19.076_B7_G821_htseq.out	X19.253_B0_G821_htseq.out	X19.253_B7_G821_htseq.out	X20.002_E0_G821_htseq.out	X20.002_E7_G821_htseq.out	X20.146_E0_G821_htseq.out	X20.146_E7_G821_htseq.out	X20.327_L0_G821_htseq.out	X20.327_L7_G821_htseq.out
HSP90AA1	17939	31759	16286	8615	9413	28155	11355	39374	12106	28122	20377	25936	21263	11864	12788	24644	14293	50329	21654	24035	27500	33702	18124	53634	18810	24742	19279	37965	18666	40080	21858	23390	15450	21213	15887	93527	15140	29313	31531	83575	21461	44443
ESR1	11	6	16	0	57	5	99	21	21	33	16	23	8	18	11	10	4	12	27	5	22	6	28	38	15	3	15	8	25	16	9	9	20	21	23	8	16	3	34	52	6	8
MAPK1	2154	1791	2003	597	1463	1025	1765	3079	1286	2683	2200	2252	1761	1553	2194	1981	2101	2196	2731	1296	3269	2760	1868	6659	2950	3824	2746	1493	1987	2874	2685	1695	2224	2156	2772	2697	1519	1190	1897	1700	1641	1977
HMOX1	1318	847	1974	320	1621	560	921	829	2678	1963	5099	595	2592	1487	268	742	840	632	2214	3024	2809	324	758	4958	1773	967	1216	576	1540	581	1347	247	2850	1563	1605	520	1081	949	2607	8141	1250	691
EP300	634	301	705	142	684	223	1075	1659	689	1768	1566	1807	793	985	1600	1438	929	1096	1252	260	1460	771	487	3062	1493	1635	953	318	381	867	984	1002	712	791	1502	585	560	201	683	666	540	1207
HIF1A	1294	621	1029	426	806	926	2803	1811	509	2273	1962	1536	1406	1444	415	665	1428	2414	1166	1682	1480	2013	1929	5132	1914	1239	2051	2007	1064	2315	1780	1066	982	2304	1632	2377	928	873	8012	8753	1044	1750
CCNE1	141	361	70	344	87	93	211	182	45	372	74	134	189	147	66	470	66	322	60	553	118	140	104	158	72	592	99	210	97	471	164	300	74	109	82	562	73	358	186	178	54	457
MET	606	4608	523	1364	536	1277	324	5913	339	5729	1129	1316	712	935	521	2282	773	3992	737	1622	1212	3040	656	2432	1245	9207	1333	3391	727	3885	1089	3118	653	1487	661	1661	760	3202	1663	1050	918	5620
NFKB1	1410	708	1014	308	898	372	1814	2017	669	1653	1298	1684	1312	937	1048	993	875	1410	1333	706	1790	1163	877	3644	1436	1891	1067	786	786	994	1364	1117	891	894	1335	1458	828	677	2238	1197	813	1023
IL2	0	0	1	0	6	0	10	1	0	7	7	5	0	2	0	2	9	5	3	0	1	3	1	15	4	1	7	2	6	3	1	0	5	1	7	2	9	2	9	1	2	4
